"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"AAPL","Apple Inc","Common stocks","Large cap","Information Technology","$2,100,526,571,520","0.65%","USA","Analyze"
"MSFT","Microsoft Corp","Common stocks","Large cap","Information Technology","$1,763,898,001,428","0.91%","USA","Analyze"
"AMZN","Amazon.Com Inc.","Common stocks","Large cap","Consumer Discretionary","$1,558,296,204,156","0.00%","USA","Analyze"
"GOOG","Alphabet Inc Class C","Common stocks","Large cap","Communication Services","$1,401,546,985,247","0.00%","USA","Analyze"
"GOOGL","Alphabet Inc Class A","Common stocks","Large cap","Communication Services","$1,401,546,985,247","0.00%","USA","Analyze"
"FB","Facebook Inc Class A","Common stocks","Large cap","Communication Services","$739,186,033,152","0.00%","USA","Analyze"
"TSLA","Tesla Inc","Common stocks","Large cap","Consumer Discretionary","$658,881,839,286","0.00%","USA","Analyze"
"BRK.B","Berkshire Hathaway Inc.","Common stocks","Large cap","Financials","$575,080,611,645","0.00%","USA","Analyze"
"V","Visa Inc Class A","Common stocks","Large cap","Information Technology","$475,557,080,000","0.57%","USA","Analyze"
"JPM","JP Morgan Chase & Co","Common stocks","Large cap","Financials","$457,756,480,464","2.37%","USA","Analyze"
"JNJ","Johnson & Johnson","Common stocks","Large cap","Health Care","$418,012,665,612","2.52%","USA","Analyze"
"WMT","Walmart Stores Inc","Common stocks","Large cap","Consumer Staples","$368,118,391,832","1.65%","USA","Analyze"
"MA","Mastercard Inc Class A","Common stocks","Large cap","Information Technology","$357,431,003,337","0.45%","USA","Analyze"
"DIS","Walt Disney","Common stocks","Large cap","Communication Services","$352,052,280,572","0.45%","USA","Analyze"
"NVDA","Nvidia Corp","Common stocks","Large cap","Information Technology","$332,475,000,000","0.09%","USA","Analyze"
"UNH","Unitedhealth Group Inc","Common stocks","Large cap","Health Care","$317,513,362,394","1.44%","USA","Analyze"
"PYPL","Paypal Holdings Inc","Common stocks","Large cap","Information Technology","$315,268,802,834","0.00%","USA","Analyze"
"BAC","Bank of America Corp","Common stocks","Large cap","Financials","$307,362,557,828","2.01%","USA","Analyze"
